Labcode	Genus	Species	Count
DD1P	Bacteroides	Bacteroides fragilis	1
DD1P	Collinsella	Collinsella aerofaciens	2
DD1P	Enterococcus	Enterococcus hirae	3
DD1P	Enterococcus	Enterococcus faecalis	1
DD1P	Escherichia	Escherichia coli	17
DD1P	Lactobacillus	Lactobacillus agilis	12
DD1P	Lactobacillus	Lactobacillus mucosae	1
DD1P	Pseudomonas	Pseudomonas aeruginosa	1
DD1P	Weissella	Weissella confusa	1
DD1R	Enterococcus	Enterococcus raffinosus	2
DD1R	Enterococcus	Enterococcus avium	1
DD1R	Lactobacillus	Lactobacillus gasseri	6
DD1T	Bacillus	Bacillus safensis	1
DD1T	Bacteroides	Bacteroides uniformis	5
DD1T	Bacteroides	Bacteroides vulgatus	1
DD1T	Clostridium	Clostridium tertium	1
DD1T	Clostridium	Clostridium perfringens	10
DD1T	Collinsella	Collinsella aerofaciens	8
DD1T	Comamonas	Comamonas kerstersii	11
DD1T	Enterococcus	Enterococcus casseliflavus	4
DD1T	Enterococcus	Enterococcus gallinarum	2
DD1T	Enterococcus	Enterococcus hirae	20
DD1T	Enterococcus	Enterococcus faecium	9
DD1T	Enterococcus	Enterococcus faecalis	4
DD1T	Erysipelatoclostridium	Clostridium innocuum	1
DD1T	Escherichia	Escherichia coli	43
DD1T	Fusobacterium	Fusobacterium mortiferum	2
DD1T	Klebsiella	Klebsiella pneumoniae	4
DD1T	Lactobacillus	Lactobacillus mucosae	12
DD1T	Lactobacillus	Lactobacillus salivarius	1
DD1T	Lactobacillus	Lactobacillus rhamnosus	1
DD1T	Lactobacillus	Lactobacillus paracasei	1
DD1T	Pseudomonas	Pseudomonas aeruginosa	18
DD1T	Streptococcus	Streptococcus anginosus	5
DD1T	Veillonella	Veillonella denticariosi	1
DD1U	Bacillus	Bacillus altitudinis	1
DD1U	Bacteroides	Bacteroides vulgatus	1
DD1U	Bacteroides	Bacteroides uniformis	1
DD1U	Bacteroides	Bacteroides fragilis	5
DD1U	Bacteroides	Bacteroides xylanisolvens	1
DD1U	Citrobacter	Citrobacter koseri	1
DD1U	Clostridium	Clostridium tertium	7
DD1U	Clostridium	Clostridium paraputrificum	1
DD1U	Clostridium	Clostridium butyricum	4
DD1U	Clostridium	Clostridium sp.	1
DD1U	Clostridium	Clostridium perfringens	46
DD1U	Clostridium	Clostridium cadaveris	1
DD1U	Collinsella	Collinsella aerofaciens	1
DD1U	Enterococcus	Enterococcus casseliflavus	4
DD1U	Enterococcus	Enterococcus faecium	13
DD1U	Enterococcus	Enterococcus hirae	5
DD1U	Escherichia	Escherichia coli	35
DD1U	Klebsiella	Klebsiella pneumoniae	4
DD1U	Lachnoclostridium	Clostridium scindens	1
DD1U	Parabacteroides	Parabacteroides distasonis	2
DD1U	Pseudomonas	Pseudomonas aeruginosa	13
DD1U	Streptococcus	Streptococcus gallolyticus	3
DD1U	Streptococcus	Streptococcus lutetiensis	2
DD1V	Bacteroides	Bacteroides uniformis	1
DD1V	Bacteroides	Bacteroides salyersiae	1
DD1V	Clostridium	Clostridium tertium	1
DD1V	Clostridium	Clostridium perfringens	4
DD1V	Eggerthella	Eggerthella lenta	1
DD1V	Enterococcus	Enterococcus cecorum	1
DD1V	Escherichia	Escherichia coli	9
DD1V	Klebsiella	Klebsiella pneumoniae	1
DD1V	Lactobacillus	Lactobacillus salivarius	2
DD1V	Lactobacillus	Lactobacillus crispatus	1
DD1V	Streptococcus	Streptococcus salivarius	1
DD1V	Streptococcus	Streptococcus constellatus	1
DD1V	Streptococcus	Streptococcus mutans	2
DD1W	Alistipes	Alistipes finegoldii	1
DD1W	Bacillus	Bacillus safensis	2
DD1W	Bacteroides	Bacteroides uniformis	2
DD1W	Bifidobacterium	Bifidobacterium pseudocatenulatum	5
DD1W	Bifidobacterium	Bifidobacterium catenulatum	1
DD1W	Citrobacter	Citrobacter koseri	1
DD1W	Clostridium	Clostridium tertium	2
DD1W	Clostridium	Clostridium perfringens	3
DD1W	Collinsella	Collinsella aerofaciens	1
DD1W	Enterococcus	Enterococcus casseliflavus	2
DD1W	Enterococcus	Enterococcus hirae	3
DD1W	Enterococcus	Enterococcus faecium	4
DD1W	Enterococcus	Enterococcus gallinarum	1
DD1W	Escherichia	Escherichia coli	59
DD1W	Lactobacillus	Lactobacillus gastricus	2
DD1W	Lactobacillus	Lactobacillus salivarius	1
DD1W	Parabacteroides	Parabacteroides distasonis	3
DD1W	Pseudomonas	Pseudomonas aeruginosa	17
DD1W	Streptococcus	Streptococcus gallolyticus	1
DD1W	Streptococcus	Streptococcus mutans	7
DD1X	Acidaminococcus	Acidaminococcus intestini	1
DD1X	Bacteroides	Bacteroides caccae	1
DD1X	Bacteroides	Bacteroides vulgatus	1
DD1X	Clostridium	Clostridium perfringens	1
DD1X	Eggerthella	Eggerthella lenta	1
DD1X	Enterococcus	Enterococcus faecium	1
DD1X	Enterococcus	Enterococcus faecalis	2
DD1X	Escherichia	Escherichia coli	8
DD1X	Lactobacillus	Lactobacillus salivarius	3
DD1X	Lactobacillus	Lactobacillus pentosus	1
DD1X	Streptococcus	Streptococcus gallolyticus	1
DD1X	Streptococcus	Streptococcus anginosus	1
DD1Y	Alistipes	Alistipes onderdonkii	3
DD1Y	Bacillus	Bacillus altitudinis	1
DD1Y	Bacillus	Bacillus pumilus	11
DD1Y	Bacillus	Bacillus cereus	1
DD1Y	Bacteroides	Bacteroides thetaiotaomicron	2
DD1Y	Bacteroides	Bacteroides fragilis	2
DD1Y	Bacteroides	Bacteroides nordii	1
DD1Y	Bacteroides	Bacteroides ovatus	1
DD1Y	Bacteroides	Bacteroides uniformis	2
DD1Y	Bacteroides	Bacteroides xylanisolvens	1
DD1Y	Citrobacter	Citrobacter koseri	8
DD1Y	Citrobacter	Citrobacter freundii	2
DD1Y	Clostridium	Clostridium perfringens	17
DD1Y	Clostridium	Clostridium tertium	7
DD1Y	Clostridium	Clostridium butyricum	1
DD1Y	Comamonas	Comamonas kerstersii	1
DD1Y	Enterococcus	Enterococcus casseliflavus	5
DD1Y	Enterococcus	Enterococcus hirae	11
DD1Y	Enterococcus	Enterococcus faecium	11
DD1Y	Enterococcus	Enterococcus cecorum	1
DD1Y	Escherichia	Escherichia coli	45
DD1Y	Lactobacillus	Lactobacillus mucosae	1
DD1Y	Lactobacillus	Lactobacillus gasseri	1
DD1Y	Lactobacillus	Lactobacillus plantarum	1
DD1Y	Lysinibacillus	Lysinibacillus fusiformis	1
DD1Y	Parabacteroides	Parabacteroides distasonis	1
DD1Y	Peptostreptococcus	Peptostreptococcus anaerobius	1
DD1Y	Pseudomonas	Pseudomonas aeruginosa	13
DD1Y	Streptococcus	Streptococcus gallolyticus	2
DD1Y	Streptococcus	Streptococcus anginosus	1
DD1Y	Weissella	Weissella confusa	2
DD20	Acidaminococcus	Acidaminococcus intestini	1
DD20	Bacillus	Bacillus pumilus	4
DD20	Bacillus	Bacillus safensis	1
DD20	Enterococcus	Enterococcus faecium	2
DD20	Escherichia	Escherichia coli	10
DD20	Klebsiella	Klebsiella pneumoniae	1
DD20	Lactobacillus	Lactobacillus gasseri	15
DD20	Streptococcus	Streptococcus gallolyticus	7
DD20	Weissella	Weissella confusa	1
