geneID	FA.fpkm	MA.fpkm	P.fpkm	LP.fpkm
MsepPBP2	2530.63	8426.37	89.53	28.27
MsepGOBP1	1151.23	666.17	3.81	10.62
MsepOBP15	1338.24	1492.84	1015.26	1676.85
MsepOBP32	19.97	0	0	0.29
MsepOBP27	174.6	0	11.52	136.29
MsepOBP10	7100.5	6725.5	1746.18	1242.58
MsepOBP1	23.28	18.7	125.66	46.25
MsepOBP24	0.04	0	7.82	0.78
MsepOBP17	6.15	19.08	3.63	0.35
MsepOBP28	1530.54	0	46.84	141.53
MsepOBP18	0.18	0.47	91.97	0.24
MsepOBP19	10.01	9.59	1.91	2.25
MsepOBP12	12.05	10.53	199.8	29.01
MsepOBP8	0.84	0.31	32.8	0.53
MsepOBP25	0.04	0	19.25	1.7
MsepPBP1	3964.28	8106.27	35.97	39.27
MsepOBP14	943.77	810.71	4.95	8.01
MsepOBP22	92.73	149.86	1.94	2.04
MsepOBP16	0.27	0.06	1.12	2.92
MsepOBP29	706.77	0	27.15	49.04
MsepOBP20	2204.45	1850.62	334.63	18.79
MsepOBP13	0.28	0.24	3.34	0
MsepOBP26	2286.55	0	2.32	9.66
MsepOBP5	8409.49	7232.22	190.53	74.96
MsepOBP30	3.53	0	1.17	0.24
MsepOBP9	614.23	474.87	365.85	151.52
MsepOBP2	378.46	376.78	2.4	2.81
MsepOBP6	895.14	946.56	1282.32	47.45
MsepOBP23	0.38	0.14	7.49	0.36
MsepOBP11	0.35	0.17	4.21	0.1
MsepOBP7	14.24	15.99	174.11	4.01
MsepPBP3	10528.23	3848.45	16.2	48.25
MsepOBP4	63.59	70.53	76.84	15.22
MsepOBP33	1.05	0	0	0.64
MsepOBP3	40.29	102.07	26.27	116.74
MsepOBP31	1.9	0	0	0.86
MsepOBP21	24840.54	8491	108.47	154.88
MsepGOBP2	49665.66	40811.71	184.57	301.5
